Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
"EMMES CORPORATION, THE",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MD,ROCKVILLE,5/27/2021,7/28/2017 0:00,33003900.87,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,DATA COORDINATING CENTER FOR THE BEST PHARMACEUTICALS FOR CHILDREN ACT
"NORFOLK BANANA DISTRIBUTORS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,NORFOLK,11/12/2020,11/12/2020 0:00,289.15,PERISHABLE PREPARED FOOD MANUFACTURING,"4551700637!LETTUCE, FRESH,"
"ROHDE & SCHWARZ USA, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,COLUMBIA,7/1/2021,5/12/2021 0:00,14905,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,OEM REPAIR OF NRP-Z52 (S/N: 162002)
W R SYSTEMS LTD.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FAIRFAX,6/17/2021,6/17/2021 0:00,377404.17,ENGINEERING SERVICES,NGA CHARTING APPLICATION DEVELOPMENT AND MAINTENANCE SUPPORT
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FALLS CHURCH,3/22/2021,3/22/2021 0:00,3632.02,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,CIRCUIT CARD ASSEMB
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,10/14/2020,10/14/2020 0:00,197.95,PERISHABLE PREPARED FOOD MANUFACTURING,"4551402899!PEARS, FRESH,"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,12/15/2020,12/15/2020 0:00,42.83,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"SPRAY,CLEAN-UP,32OZ"
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,8/26/2021,8/26/2021 0:00,1082417.58,ALL OTHER MISCELLANEOUS MANUFACTURING,4554568557!NOVASEQ 6000
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,3/15/2021,3/15/2021 0:00,33.06,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER- FREE,LATEX-FREE,INDUSTRIAL GRADE,NITRILE GLOVES FOR GENERAL PURPOSE USE. NITRILE SHALL BE SOFT FORMULATION ALLOWS GLOVES TO CONFORM TO HAND. 4 MILS THICK, MIN. MEDIUM, 9 1/2 IN, DISPENSER BOX. U/I B"
"W.E. BOWERS, INC.",NATIONAL GALLERY OF ART (NGA),NATIONAL GALLERY OF ART (NGA),DC,WASHINGTON,3/30/2021,4/1/2021 0:00,63629,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",MECHANICAL IDIQ
CARAHSOFT TECHNOLOGY CORP.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,9/29/2021,9/29/2021 0:00,37155.67,SOFTWARE PUBLISHERS,RED HAT ENTERPRISE LINUX (RHEL) SUBSCRIPTIONS
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,8/5/2021,8/5/2021 0:00,2136.01,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,DOCUMENT PROTECTOR
IST RESEARCH CORP.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FREDERICKSBURG,8/24/2021,9/20/2019 0:00,2786441,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",INCREMENTAL FUNDING
CAPSTONE CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),DC,WASHINGTON,9/20/2021,3/28/2021 0:00,1436837.1,COMPUTER SYSTEMS DESIGN SERVICES,CYBERSECURITY AND SYSTEM ADM. SPT SVCS
"LEIDOS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,2/19/2021,7/29/2016 0:00,745238,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","RESEARCH AND DEVELOPMENT SUPPORT FOR DEVELOPMENT, ANALYSIS, AND MODELING OF UXO SENSORS."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,1/28/2021,1/28/2021 0:00,1393.31,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4552351186!TRBO REGION 3
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,7/1/2021,7/1/2021 0:00,266.8,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"SOAP,TOILET"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,2/3/2021,2/3/2021 0:00,71.4,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,KEYBOARD - WIRED
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,2/9/2021,2/9/2021 0:00,969.97,PERISHABLE PREPARED FOOD MANUFACTURING,"4552468067!RASPBERRIES, FRESH,"
JO-KELL INC.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,CHESAPEAKE,3/10/2021,3/10/2021 0:00,14976.09,OTHER METAL VALVE AND PIPE FITTING MANUFACTURING,"ADAPTER,PHOTOSENSOR"
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,11/4/2020,11/4/2020 0:00,406.92,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,DATED 2021 - WALL CALENDAR
"P.J.K. FOOD SERVICE, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,HYATTSVILLE,2/18/2021,2/18/2021 0:00,125,PERISHABLE PREPARED FOOD MANUFACTURING,"4552556201!APPLES, CHL,"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,6/30/2021,6/30/2021 0:00,214.85,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554010369!TRBO REGION 3
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,PATUXENT RIVER,4/27/2021,5/1/2021 0:00,766693,ENGINEERING SERVICES,PMA 280 SYSTEMS ENGINEERING SUPPORT
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/18/2020,11/18/2020 0:00,8.24,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551769383!TRBO REGION 3
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,3/30/2021,3/30/2021 0:00,608.8,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,KEYBOARD - WIRED
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/23/2021,8/23/2021 0:00,583.77,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554500086!TRNQT APL BLK 37.5IN C-A-T SM 1 HND 1
"AGILE DEFENSE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,HYATTSVILLE,6/15/2021,9/27/2019 0:00,31329597.25,OTHER COMPUTER RELATED SERVICES,INCREMENTAL FUNDING MODIFICATION FOR THE APPLICATIONS MANAGEMENT AND DEVELOPMENT TASK ORDER.
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,7/30/2021,7/30/2021 0:00,52.36,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554280510!COVER PRB SRTMP DISP
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,1/14/2021,1/14/2021 0:00,1710.92,ALL OTHER MISCELLANEOUS MANUFACTURING,4552238010!QUANTIFY PLUS LIQ
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,6/14/2021,6/14/2021 0:00,49.69,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,KEYBOARD - WIRED
FEDERAL RESOURCES SUPPLY COMPANY,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,STEVENSVILLE,2/17/2021,2/17/2021 0:00,11900,SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,4552601641!PP 3102 AUTO-START KIT
BATTERY SYSTEMS LLC,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FREDERICK,12/15/2020,6/29/2020 0:00,69260,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,REPAIR UNINITERRUPTABLE POWER SUPPLY
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,CHESAPEAKE,2/24/2021,2/13/2020 0:00,20242.71,BARE PRINTED CIRCUIT BOARD MANUFACTURING,"PROCESSOR,SIGNAL DA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/27/2020,11/27/2020 0:00,231.48,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551831153!TRBO REGION 3
"MERCOM, INCORPORATED",DEPARTMENT OF STATE (DOS),DEPARTMENT OF STATE (DOS),DC,WASHINGTON,8/2/2021,8/2/2021 0:00,58379.5,OTHER COMPUTER RELATED SERVICES,THIS REQUEST IS FOR 50 DESKTOP PCS
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,8/16/2021,8/16/2021 0:00,165.3,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER-FREE,LATEX-FREE,INDUSTRIAL GRADE,NITRILE GLOVES FOR GENERAL PURPOSE USE. NITRILE SHALL BE SOFT FORMULATION ALLOWS GLOVES TO CONFORM TO HAND. 4 MILS THICK MIN. SIZE LARGE, 9 1/2"" . U/I BX (100 EA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/2/2021,9/2/2021 0:00,5822.82,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554640354!SET ADM 117IN 20 GTT/L 6IN 25ML IV ALR
"TSRC, INC.",DEPARTMENT OF STATE (DOS),DEPARTMENT OF STATE (DOS),MD,HANOVER,6/2/2021,6/2/2021 0:00,114.44,PRIMARY BATTERY MANUFACTURING,BETTERIES
"CENTRAL LAKE ARMOR EXPRESS, INC.",DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),DC,WASHINGTON,7/20/2021,4/23/2021 0:00,27839.4,OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,BALLISTIC HELMETS FOR USMS DEPUTIES
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,2/15/2021,2/15/2021 0:00,151.27,PERISHABLE PREPARED FOOD MANUFACTURING,"4552521547!TOMATOES, GRAPE, FRESH,"
BOOZ ALLEN HAMILTON INC.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MCLEAN,7/20/2021,7/9/2018 0:00,845313.5,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,: PKS-WARD-LIMOGES-BT TO 31 UNEXERCISED OPTION CLINS 1001 AND 1002 DESCOPE
RICK AVIATION INC,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,NEWPORT NEWS,1/10/2021,1/10/2021 0:00,1580.2,PETROLEUM REFINERIES,"4552169976!TURBINE FUEL,AVIATION, JAA"
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,2/5/2021,2/5/2021 0:00,288.9,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"BROOM,PUSH, FOR ROUGH SURFACES, BLACK METAL, DETACHABLE HANDLE. LENGTH 60"" , BLOCK WIDTH 24"" , THICKNESS 7/8"" . MADE OF HARDWOOD. STIFF POLYPROPYLENE FIBERS 3/75"" LONG, FLEXIBLE ELASTOMER CONNECTOR. U/I EA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/9/2021,9/9/2021 0:00,176.2,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554709981!SYSTEM CULTURE COLLECTION AND TRANSPORT
"4 STAR TECHNOLOGIES, INC.",DEPARTMENT OF THE TREASURY (TREAS),DEPARTMENT OF THE TREASURY (TREAS),VA,VIRGINIA BEACH,10/21/2020,10/21/2020 20:01,37938.41,OTHER COMPUTER RELATED SERVICES,NUIX S/W MAINTENANCE
"ATLANTIC DIVING SUPPLY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,3/31/2021,3/31/2021 0:00,63487.3,ALL OTHER MISCELLANEOUS MANUFACTURING,"4553023991!RHINO RUCK KIT, MULTICAM"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,10/5/2020,10/5/2020 0:00,116.34,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551316616!TRBO REGION 3
ATLANTIC DIVING SUPPLY INCORPORATED,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,VIRGINIA BEACH,3/2/2021,3/2/2021 0:00,86.45,ALL OTHER MISCELLANEOUS MANUFACTURING,"GLOVES,MEN' S AND WOMEN' S SIZE SMALL, U/I PG (5 PAIR PER PG). MECHANIX WEAR GVMP-PKF55-008, CAMELBAK IMPACT CT GLOVES MPCT05-08, OR EQUAL."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,7/12/2021,7/12/2021 0:00,29.9,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554088692!TRBO REGION 3
